# 多晶材料三角形网格信息文件 (晶界细密-晶粒粗糙版)
# 生成时间: 2025-03-31 18:48:04
#
# 参数设置:
# - 几何文件: equiaxed_grains_with_boundaries.geo
# - 输出网格文件: mix_mesh.msh
# - 晶粒网格尺寸: 0.02
# - 晶界网格尺寸: 0.0005
# - 过渡区域距离: 0.05
# - 优化时间限制: 60 秒
#
# 晶界区域生成细密三角形网格，晶粒区域生成粗糙三角形网格
# ==========================================

# ===== 网格统计 =====
# 总单元数: 795405
# 总三角形单元数: 556695
# 总四边形单元数: 238710
# 晶界区域三角形数: 515156 (64.77%)
# 晶界区域四边形数: 0 (0.0%)
# 晶粒区域三角形数: 41539 (5.22%)
# 晶粒区域四边形数: 238710 (30.01%)
# 晶粒区域四边形重组效率: 85.18%

# ===== 物理组网格统计 =====
# 物理组ID,物理组名称,三角形单元数,四边形单元数
101,Grain_65,613,2064
520,Boundary_52_1,758,0
462,Boundary_10_5,959,0
246,Boundary_79_4,925,0
618,Boundary_83_6,1169,0
97,Grain_33,759,2319
402,Boundary_93_1,651,0
413,Boundary_92_6,1064,0
110,Boundary_56_5,1233,0
501,Boundary_11_4,1234,0
30,Grain_41,76,2643
648,Boundary_62_1,725,0
234,Boundary_59_4,995,0
614,Boundary_49_5,737,0
272,Boundary_79_1,1407,0
182,Boundary_96_1,788,0
164,Boundary_65_4,945,0
470,Boundary_14_2,749,0
267,Boundary_29_3,514,0
629,Boundary_60_2,799,0
359,Boundary_64_2,704,0
4,Grain_56,76,2412
328,Boundary_40_1,696,0
630,Boundary_70_5,850,0
11,Grain_67,655,2099
69,Grain_74,691,2228
119,Boundary_66_2,705,0
495,Boundary_96_7,991,0
307,Boundary_97_3,599,0
144,Boundary_34_6,1050,0
257,Boundary_66_1,1089,0
352,Boundary_40_6,1274,0
200,Boundary_86_4,1167,0
187,Boundary_45_3,1304,0
213,Boundary_92_3,1054,0
647,Boundary_91_1,691,0
227,Boundary_95_3,1212,0
109,Boundary_49_4,888,0
445,Boundary_11_5,597,0
453,Boundary_97_4,1098,0
120,Boundary_58_6,891,0
498,Boundary_90_1,920,0
562,Boundary_68_7,423,0
297,Boundary_51_3,687,0
24,Grain_52,689,2212
464,Boundary_27_5,751,0
433,Boundary_17_4,1147,0
447,Boundary_85_5,1182,0
314,Boundary_55_4,921,0
480,Boundary_54_3,1077,0
633,Boundary_21_5,977,0
566,Boundary_49_2,866,0
315,Boundary_93_5,751,0
268,Boundary_26_1,926,0
497,Boundary_15_6,686,0
32,Grain_11,755,2382
471,Boundary_20_5,867,0
239,Boundary_33_5,1117,0
567,Boundary_24_4,961,0
191,Boundary_38_6,734,0
661,Boundary_26_3,891,0
150,Boundary_12_5,1096,0
199,Boundary_60_1,1025,0
361,Boundary_5_6,494,0
98,Grain_40,747,2212
621,Boundary_63_4,1191,0
411,Boundary_10_2,762,0
310,Boundary_95_5,2138,0
169,Boundary_71_5,905,0
180,Boundary_60_4,1157,0
653,Boundary_5_7,1002,0
542,Boundary_2_1,977,0
428,Boundary_24_3,1465,0
347,Boundary_33_6,592,0
332,Boundary_90_3,1246,0
375,Boundary_28_1,668,0
229,Boundary_1_5,1149,0
163,Boundary_49_6,947,0
625,Boundary_32_1,757,0
338,Boundary_15_2,646,0
467,Boundary_99_2,1099,0
3,Grain_5,86,2464
96,Grain_51,96,2547
504,Boundary_85_4,911,0
35,Grain_69,711,2288
657,Boundary_58_1,1085,0
348,Boundary_52_3,896,0
417,Boundary_19_1,1231,0
333,Boundary_48_2,592,0
506,Boundary_13_1,855,0
603,Boundary_53_2,665,0
376,Boundary_27_3,786,0
12,Grain_45,78,2426
82,Grain_8,124,2568
71,Grain_29,116,2585
208,Boundary_28_3,755,0
521,Boundary_91_2,624,0
26,Grain_28,747,2267
127,Boundary_57_3,1025,0
571,Boundary_37_4,1182,0
565,Boundary_63_5,705,0
389,Boundary_84_1,1142,0
295,Boundary_29_2,684,0
57,Grain_42,649,2148
619,Boundary_86_3,1157,0
475,Boundary_97_1,921,0
511,Boundary_83_5,474,0
397,Boundary_19_4,581,0
129,Boundary_26_2,763,0
78,Grain_88,709,2220
133,Boundary_98_6,980,0
258,Boundary_55_5,499,0
72,Grain_94,80,2486
252,Boundary_36_2,585,0
579,Boundary_58_5,477,0
313,Boundary_5_4,982,0
604,Boundary_14_1,689,0
588,Boundary_98_5,471,0
354,Boundary_11_3,449,0
299,Boundary_33_4,469,0
345,Boundary_45_1,978,0
573,Boundary_47_3,1621,0
516,Boundary_63_2,775,0
231,Boundary_71_4,991,0
432,Boundary_29_1,954,0
114,Boundary_77_2,893,0
624,Boundary_35_2,826,0
275,Boundary_57_4,877,0
337,Boundary_55_1,959,0
363,Boundary_90_2,424,0
378,Boundary_18_4,501,0
176,Boundary_35_4,917,0
469,Boundary_6_4,795,0
451,Boundary_39_5,1072,0
553,Boundary_70_3,1018,0
157,Boundary_38_1,877,0
582,Boundary_14_4,769,0
392,Boundary_69_2,1160,0
370,Boundary_13_2,931,0
16,Grain_4,617,2084
622,Boundary_94_5,567,0
489,Boundary_51_6,1031,0
74,Grain_57,54,2406
228,Boundary_60_6,1459,0
580,Boundary_94_2,545,0
105,Boundary_41_2,1749,0
399,Boundary_44_4,473,0
421,Boundary_44_1,1550,0
166,Boundary_78_2,927,0
585,Boundary_20_6,650,0
668,Boundary_98_1,877,0
274,Boundary_18_2,648,0
15,Grain_90,98,2941
538,Boundary_39_1,449,0
6,Grain_55,719,2240
219,Boundary_82_4,1328,0
153,Boundary_75_5,1113,0
139,Boundary_72_3,1284,0
13,Grain_73,653,2154
405,Boundary_18_1,1026,0
104,Boundary_65_5,1009,0
524,Boundary_10_4,1072,0
640,Boundary_73_2,919,0
302,Boundary_78_1,623,0
43,Grain_25,725,2210
539,Boundary_49_3,711,0
646,Boundary_77_3,934,0
39,Grain_39,98,2578
126,Boundary_46_3,868,0
441,Boundary_89_4,881,0
443,Boundary_51_4,1277,0
156,Boundary_23_5,948,0
439,Boundary_14_3,270,0
344,Boundary_8_7,641,0
346,Boundary_30_2,920,0
294,Boundary_61_2,524,0
512,Boundary_30_6,777,0
481,Boundary_63_3,582,0
161,Boundary_68_5,1042,0
531,Boundary_11_1,1227,0
383,Boundary_20_3,816,0
401,Boundary_31_4,711,0
209,Boundary_80_7,1059,0
323,Boundary_89_2,1057,0
545,Boundary_94_3,877,0
8,Grain_30,729,2103
83,Grain_17,731,2309
201,Boundary_5_2,720,0
99,Grain_48,701,2123
593,Boundary_8_1,1083,0
554,Boundary_21_3,1078,0
491,Boundary_52_4,992,0
386,Boundary_48_5,763,0
602,Boundary_50_5,1056,0
461,Boundary_2_5,559,0
334,Boundary_44_5,1171,0
586,Boundary_81_6,833,0
423,Boundary_25_6,446,0
627,Boundary_62_4,920,0
510,Boundary_37_5,349,0
559,Boundary_38_3,756,0
210,Boundary_12_4,639,0
63,Grain_81,775,2169
91,Grain_89,92,2416
173,Boundary_94_6,929,0
256,Boundary_5_5,764,0
188,Boundary_100_5,807,0
355,Boundary_92_4,819,0
235,Boundary_12_1,803,0
204,Boundary_67_1,1021,0
568,Boundary_8_4,615,0
384,Boundary_81_3,874,0
371,Boundary_89_5,1209,0
76,Grain_21,40,2372
167,Boundary_53_1,761,0
42,Grain_7,86,2708
132,Boundary_28_7,902,0
140,Boundary_86_5,1116,0
605,Boundary_47_2,860,0
442,Boundary_80_4,582,0
652,Boundary_47_5,773,0
255,Boundary_44_3,1236,0
291,Boundary_26_6,991,0
452,Boundary_17_1,815,0
94,Grain_80,729,2348
225,Boundary_25_3,856,0
128,Boundary_73_5,715,0
350,Boundary_6_2,599,0
70,Grain_61,90,2765
38,Grain_85,68,2387
326,Boundary_80_2,876,0
561,Boundary_39_6,555,0
221,Boundary_84_3,1152,0
175,Boundary_56_4,833,0
546,Boundary_32_5,1151,0
611,Boundary_73_3,657,0
613,Boundary_96_2,516,0
459,Boundary_37_2,1107,0
149,Boundary_70_1,971,0
641,Boundary_68_3,734,0
65,Grain_49,677,2098
298,Boundary_28_5,1008,0

# 网格文件保存到: mix_mesh.msh
# VTK格式保存到: mix_mesh.vtk
# Abaqus INP格式保存到: mix_mesh.inp
# 总优化时间: 163.57s (限制: 60s)
# 总用时: 253.44s
