# 多晶材料结构化网格信息文件 (晶粒算法8优化版)
# 生成时间: 2025-03-31 23:35:19
#
# 参数设置:
# - 几何文件: equiaxed_grains_with_boundaries.geo
# - 输出网格文件: quad_domi_mesh.msh
# - 晶粒网格尺寸: 0.02
# - 晶界网格尺寸: 0.0005
# - 过渡区域距离: 0.05
# - 优化时间限制: 60 秒
#
# 晶界区域使用算法6(Frontal-Delaunay)，晶粒内部使用算法8(Delaunay for Quads)
# ==========================================
# 四边形晶界数: 567, 非四边形晶界数: 0

# ===== 网格统计 =====
# 总网格单元数: 638089
# 四边形比例: 95.16%
# 晶界区域(算法6)四边形比例: 100.0%
# 晶粒内部(算法8)四边形比例: 88.96%

# ===== Transfinite表面设置结果 =====
# 表面ID,设置结果,原因,识别方法
318,Boundary_46_6,480,0,100.0
87,Grain_22,2720,0,100.0
317,Boundary_30_3,368,0,100.0
248,Boundary_28_2,468,0,100.0
589,Boundary_21_2,680,0,100.0
202,Boundary_55_2,276,0,100.0
455,Boundary_29_6,444,0,100.0
160,Boundary_33_3,488,0,100.0
591,Boundary_65_3,660,0,100.0
289,Boundary_46_1,544,0,100.0
49,Grain_50,2148,619,77.63
664,Boundary_87_4,846,0,100.0
503,Boundary_98_3,420,0,100.0
632,Boundary_58_4,636,0,100.0
631,Boundary_12_3,890,0,100.0
396,Boundary_85_2,660,0,100.0
581,Boundary_3_3,935,0,100.0
131,Boundary_21_4,740,0,100.0
570,Boundary_62_5,825,0,100.0
563,Boundary_9_1,564,0,100.0
373,Boundary_2_3,516,0,100.0
53,Grain_10,2382,663,78.23
492,Boundary_32_2,655,0,100.0
286,Boundary_31_2,615,0,100.0
617,Boundary_37_6,625,0,100.0
536,Boundary_90_6,820,0,100.0
626,Boundary_91_4,472,0,100.0
181,Boundary_22_2,786,0,100.0
594,Boundary_37_1,510,0,100.0
446,Boundary_69_5,820,0,100.0
642,Boundary_82_3,1050,0,100.0
56,Grain_27,2506,0,100.0
425,Boundary_4_5,780,0,100.0
429,Boundary_8_3,532,0,100.0
60,Grain_79,2445,715,77.37
220,Boundary_86_1,790,0,100.0
308,Boundary_7_5,445,0,100.0
67,Grain_9,2815,0,100.0
215,Boundary_36_3,795,0,100.0
404,Boundary_30_5,516,0,100.0
612,Boundary_3_2,1195,0,100.0
665,Boundary_100_3,885,0,100.0
544,Boundary_27_1,588,0,100.0
168,Boundary_47_1,792,0,100.0
364,Boundary_84_4,920,0,100.0
431,Boundary_61_1,460,0,100.0
479,Boundary_9_5,1164,0,100.0
75,Grain_70,2774,0,100.0
111,Boundary_35_5,276,0,100.0
607,Boundary_87_5,534,0,100.0
517,Boundary_34_3,592,0,100.0
66,Grain_44,2720,0,100.0
598,Boundary_76_5,1548,0,100.0
280,Boundary_19_2,915,0,100.0
656,Boundary_59_3,744,0,100.0
374,Boundary_10_3,420,0,100.0
141,Boundary_1_3,740,0,100.0
278,Boundary_77_6,2466,0,100.0
450,Boundary_15_4,424,0,100.0
477,Boundary_90_4,1445,0,100.0
135,Boundary_38_4,572,0,100.0
644,Boundary_54_1,860,0,100.0
138,Boundary_78_3,460,0,100.0
